vendor_name,vendor_category,payment_type,payment_amount,payment_date,cheque_number,bank
Team Thai,FMCG,Cheque Issued,39049.00,05-06-2025,56131,AXIS
White Line Agencies ( Impex)(R),Homeware,Cheque Issued,48883.00,05-06-2025,55530,AXIS
COCOPARK,FMCG,Cheque Issued,41750.00,06-06-2025,56188,AXIS
ECOSAS ENTERPRISES LLP,Homeware,Cheque Pending,32825.00,06-06-2025,,
Prince Trading,Homeware,Bank Transfer,5280.00,06-06-2025,,
Rifa Traders(R),Homeware,Cheque Pending,38330.50,06-06-2025,,
SWISS TRADERS,FMCG,Cheque Issued,42260.00,06-06-2025,55579,AXIS
White Line Agencies ( Impex)(R),Homeware,Cheque Issued,48883.00,06-06-2025,55529,AXIS
GOPI&CO,FMCG,Cheque Issued,217005.00,07-06-2025,55507,AXIS
KOTTARAM(R),Homeware,Bank Transfer,5850.00,07-06-2025,,
PEARL PLASTICS,Homeware,Cheque Issued,30845.00,07-06-2025,55520,AXIS
Rifa Traders(R),Homeware,Cheque Pending,38330.50,07-06-2025,,
SWISS TRADERS,FMCG,Cheque Issued,33124.00,07-06-2025,55580,AXIS
White Line Agencies ( Impex)(R),Homeware,Cheque Issued,48883.00,07-06-2025,55533,AXIS
KOCHIN OVERSEAS,Homeware,Cheque Pending,28818.00,09-06-2025,,
Limar Enterprises,FMCG,Cheque Issued,33032.00,09-06-2025,55522,AXIS
MAAEDA,FMCG,Cheque Issued,27306.00,09-06-2025,55599,AXIS
SWISS TRADERS,FMCG,Cheque Issued,33124.00,09-06-2025,55581,AXIS
VIJAYA AGENCIES(Homeware),Homeware,Cheque Issued,45570.00,09-06-2025,55575,AXIS
White Line Agencies ( Impex)(R),Homeware,Cheque Issued,48883.00,09-06-2025,55534,AXIS
COCOPARK,FMCG,Cheque Issued,41750.00,10-06-2025,56161,AXIS
KURIKKAL APPLIANCE DISTRIBUTION MAQBOOL,Homeware,Cheque Issued,14853.00,10-06-2025,55573,AXIS
"Kurikkal Appliances Distributions (Kahhar) Impe,Onx",Homeware,Cheque Pending,16424.00,10-06-2025,,
MAAEDA,FMCG,Cheque Issued,27306.00,10-06-2025,55600,AXIS
PLAZZO MART,Homeware,Cheque Pending,26530.50,10-06-2025,,
